,Track name,Artist name,Track uri,Popularity,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Key,Track type,sentiment,sentiment score
91,4 or 5 Things,Junkyard Groove,spotify:track:5uukEbaLQWjCF0J2HwcBIZ,13,0.608,0.896,-6.064,1.0,0.048,0.00465,0.0,0.046,0.75,107.011,175444.0,9.0,Indie,Positive,93.06
92,4AM in Toronto (feat. Miloh Smith),Junia-T,spotify:track:6eWC3LPPER3hQlwGqdQOo6,45,0.803,0.51,-4.352,1.0,0.12,0.239,0.000923,0.113,0.512,173.985,264948.0,10.0,RADAR,None,0.0
93,4hz Theta Long Swells,Adeki,spotify:track:5np35mW6FlnQfqjWYWR4ZN,32,0.148,0.00859,-29.19,0.0,0.099,0.814,0.906,0.111,0.424,174.735,525793.0,4.0,"At home, Student",Neutral,0.0
94,5 Hz Theta - Creativity & Intuition,Kev Thompson,spotify:track:60oZibxpJVRwIHQdT5KjWD,41,0.151,0.00252,-44.508,1.0,0.0596,0.983,0.916,0.108,0.0298,135.508,372000.0,5.0,"At home, Student",Neutral,0.0
95,5 Taara,Diljit Dosanjh,spotify:track:4OFiDV3YIUVwMUNsXRnqeV,41,0.687,0.855,-2.837,0.0,0.109,0.13,0.0,0.311,0.659,167.947,178421.0,4.0,Punjabi,Positive,40.19
96,50 Spokes,Elenja,spotify:track:4ntUXTJulGoWLTvKmWGtee,28,0.79,0.234,-10.879,0.0,0.0383,0.803,0.889,0.127,0.291,79.974,120000.0,2.0,Instrumental,None,0.0
97,"52 Non Stop Dilbar Dilbar Remix(Remix By Kedrock,Sd Style)",Arya Acharya,spotify:track:1FSYDJAlyHAabWhiGgYfDq,52,0.521,0.837,-4.501,1.0,0.0794,0.0593,1.28e-05,0.157,0.48,106.001,4581483.0,7.0,Bollywood,None,0.0
98,5am Metamorphosis,Cosmic Grooves,spotify:track:3kdGbdhEqVfn3rBFEKCQl7,14,0.859,0.434,-8.499,1.0,0.0345,0.906,0.155,0.163,0.754,95.005,184428.0,0.0,Indie,Positive,14.06
99,604 Ii,Nseeb,spotify:track:6J6UGaWIAgtbS6km0lZjGq,0,0.787,0.649,-4.183,1.0,0.197,0.308,2.9e-05,0.274,0.373,105.095,177922.0,1.0,Punjabi,None,0.0
100,60’s Adventure,LzmD,spotify:track:0oeHdQcJibTp99ulHe40un,49,0.746,0.336,-12.616,1.0,0.0651,0.214,0.644,0.136,0.382,82.057,181463.0,6.0,Instrumental,None,0.0
101,7 Years,Lukas Graham,spotify:track:7129iqBafaphfc3WPCGC0L,51,0.742,0.479,-5.83,1.0,0.0551,0.29,0.0,0.391,0.346,119.951,237300.0,10.0,Decades,Positive,73.14
102,7-51,Raji,spotify:track:0Vqt6UsGkQzBOqqbQFAayn,27,0.747,0.686,-4.011,0.0,0.0723,0.118,0.0,0.359,0.699,94.932,152007.0,10.0,Punjabi,None,0.0
103,7.8 Hz Drone,Brainwave Binaural Systems,spotify:track:29dNoIQv0NwNfzsx4k5rsC,25,0.276,0.128,-27.003,1.0,0.0413,0.414,0.975,0.0502,0.0386,76.853,60029.0,10.0,"At home, Student",None,0.0
104,70 Hazaar,Jatinder Dhiman,spotify:track:2Bb3dI4gCmDtJ1v1FXqVMy,4,0.725,0.897,-2.71,0.0,0.0579,0.166,1.23e-05,0.0917,0.893,98.001,186429.0,8.0,Punjabi,Negative,73.50999999999999
105,8 (circle),Bon Iver,spotify:track:47IklCMgkgWvI4jpkdrop0,56,0.404,0.408,-10.77,1.0,0.0349,0.911,0.0512,0.117,0.0723,125.004,309013.0,9.0,"Indie, Decades",Negative,82.01
106,8 Cylinder,Sidhu Moose Wala,spotify:track:3rV6RUrsC41fAdpXdgeY7y,0,0.613,0.668,-6.923,1.0,0.217,0.313,0.0,0.305,0.681,163.993,179935.0,6.0,Punjabi,None,0.0
107,"8 Hours, Still No Rain",Hosini,spotify:track:7u3tmftMEaOYqYE6fUnNmX,51,0.383,0.21,-17.512,1.0,0.0352,0.924,0.95,0.0937,0.0547,119.997,182901.0,6.0,Student,Neutral,0.0
108,8 Parche,Baani Sandhu,spotify:track:42ETKyApzUl8hTtytFAjen,63,0.652,0.862,-2.29,0.0,0.206,0.161,0.0,0.203,0.727,173.859,210000.0,8.0,"At home, Punjabi, Student",Neutral,0.0
109,8 Raflaan (Extended Version) [feat. Gurlej Akhtar],Mankirt Aulakh,spotify:track:0bNWc1OJVrZ5S0MtysDiBL,37,0.817,0.822,-2.416,0.0,0.158,0.547,0.0,0.195,0.649,91.973,213913.0,5.0,"At home, Punjabi",Negative,94.59
110,8 Raflaan (feat. Gurlez Akhtar),Mankirt Aulakh,spotify:track:7vUfIIQiH3K3J5tmN46HE5,66,0.771,0.845,-2.194,0.0,0.201,0.69,0.0,0.313,0.62,92.0,115258.0,5.0,"Punjabi, Pop, Student",Negative,93.12
111,8 Ralde,Nirvair Pannu,spotify:track:1hwtdXGdqUXdweVmCpJQBE,52,0.682,0.802,-6.205,1.0,0.0906,0.00445,0.0,0.0696,0.698,167.937,187143.0,1.0,Punjabi,None,0.0
112,8%,HAIL,spotify:track:5b8kLu7ws92PZNztnAfhTr,5,0.636,0.231,-9.807,1.0,0.0426,0.854,0.0,0.259,0.251,104.876,230531.0,1.0,K-pop,Negative,52.669999999999995
113,80s Love,Simba Sing,spotify:track:6rIThCnWLgi48NqcFLCedp,15,0.755,0.586,-7.043,1.0,0.032,0.42,0.0,0.117,0.685,100.005,201818.0,1.0,Student,None,0.0
114,84,Rajiv Dhall,spotify:track:3qePCADpvWQ38YCLxXBrdU,53,0.448,0.413,-7.411,1.0,0.0511,0.575,0.0,0.121,0.406,169.319,155729.0,5.0,Romance,Positive,78.75999999999999
115,855,R Nait,spotify:track:5vwwuyCXZVHGYeLN0rZtbU,48,0.866,0.602,-8.573,0.0,0.0452,0.00204,7.78e-05,0.213,0.618,106.048,194717.0,4.0,Student,Positive,59.940000000000005
